time,RIVER,RIV_7_9
1.000000000000,-0.138E+05,-138.
31.41666666667,-0.137E+05,-136.
61.83333333333,-0.137E+05,-134.
92.25000000000,-0.136E+05,-132.
122.6666666667,-0.136E+05,-131.
153.0833333333,-0.136E+05,-130.
183.5000000000,-0.136E+05,-129.
213.9166666667,-0.135E+05,-129.
244.3333333333,-0.135E+05,-128.
274.7500000000,-0.135E+05,-128.
305.1666666667,-0.135E+05,-127.
335.5833333333,-0.135E+05,-127.
366.0000000000,-0.135E+05,-127.
