time,W1L1,W1L2,W1L3,W1L4,W2L1,W2L2,W2L3,W2L4,S1L1,S1L2,S1L3,S1L4,S2L1,S2L2,S2L3,S2L4,C1L1,C1L2,C1L3,C1L4,C2L1,C2L2,C2L3,C2L4,W2L4Q,GS1,ES1,PC1,GS2,ES2,PC2,GS3,ES3,PC3,GS4,ES4,PC4,SK1L2,SK2L4,T1L2,W1QIE,W1QII,W1QAQ,W1QT,W1WC,W2QIE,W2QII,W2QAQ,W2QT,W2WC
0.000000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,202.0051073,115.7805993,0.3000000000E+31,509.5051073,273.2806252,0.3000000000E+31,606.5051073,320.2821715,0.3000000000E+31,1018.505107,532.2837209,0.3000000000E+31,0.3000000000E+31,0.3000000000E+31,0.4500000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
365.2500000000,0.9076204089E-02,0.6225606010E-02,0.1566706293E-02,0.1915987213E-03,0.2973461226E-02,0.1865900777E-02,0.4808975301E-02,0.1018053281,-0.6131301929E-02,0.4398350220E-02,0.000000000,0.1447634783E-03,-0.1915147321E-02,0.1318246783E-02,0.000000000,0.8257073111E-02,0.2944902161E-02,0.1062395623E-01,0.1566706293E-02,0.3363621995E-03,0.1058313906E-02,0.3184147560E-02,0.4808975301E-02,0.1100624012,1205.337727,199.0753884,122.9533594,130.7805993,506.5753884,280.8038494,288.2806252,603.5753884,324.2271395,335.2821715,1015.575388,532.6639885,547.2837209,0.1412154682E-02,0.8358719345E-03,0.4499999979,68.17912126,0.000000000,48.16810645,116.3472277,29.94567030,78.21430520,1036.696886,90.42653647,1205.337727,90.87282460
730.5000000000,0.1280021956E-01,0.9224592702E-02,0.2385571829E-02,0.4197533170E-03,0.4773414987E-02,0.3015469786E-02,0.5248781949E-02,0.1123472996,-0.9651464724E-02,0.6517114844E-02,0.000000000,0.3171469508E-03,-0.3204385788E-02,0.2130409823E-02,0.000000000,0.8575674918E-02,0.3148754834E-02,0.1574170755E-01,0.2385571829E-02,0.7369002678E-03,0.1569029199E-02,0.5145879609E-02,0.5248781949E-02,0.1209229745,118.9385169,197.5326681,126.7303642,130.7805993,505.0326681,284.4941113,288.2806252,602.0326681,326.3032786,335.2821715,1014.032668,533.1172900,547.2837209,0.1386826031E-02,0.8342323555E-03,0.4499999923,32.84311231,0.000000000,23.20344558,56.04655789,14.98609872,0.000000000,115.4493801,3.489136823,118.9385169,5.574088412
1095.750000000,0.1468279765E-01,0.1097814767E-01,0.2914380419E-02,0.6756535477E-03,0.5969148356E-02,0.3821172788E-02,0.5522015934E-02,0.1178315571,-0.1179967665E-01,0.7755990041E-02,0.000000000,0.5104937917E-03,-0.4124311022E-02,0.2699633762E-02,0.000000000,0.8741421366E-02,0.2883120994E-02,0.1873413771E-01,0.2914380419E-02,0.1186147339E-02,0.1844837334E-02,0.6520806549E-02,0.5522015934E-02,0.1265729785,61.87547084,196.6251558,128.9522049,130.7805993,504.1251558,286.6747353,288.2806252,601.1251558,327.6499746,335.2821715,1013.125156,533.6263229,547.2837209,0.1372281605E-02,0.8333810692E-03,0.4499999812,19.20388738,0.000000000,13.56742173,32.77130911,8.842315579,0.000000000,60.06031466,1.815156177,61.87547084,3.295193230
1461.000000000,0.1579897736E-01,0.1212406677E-01,0.3292850882E-02,0.9251863475E-03,0.6844270929E-02,0.4435853718E-02,0.5742535840E-02,0.1227637744,-0.1323415725E-01,0.8565574442E-02,0.000000000,0.6990296850E-03,-0.4833557409E-02,0.3133901847E-02,0.000000000,0.8890483934E-02,0.2564820110E-02,0.2068964121E-01,0.3292850882E-02,0.1624216033E-02,0.2010713520E-02,0.7569755565E-02,0.5742535840E-02,0.1316542583,55.64714444,196.0304048,130.4083194,130.7805993,503.5304048,288.1095705,288.2806252,600.5304048,328.6168744,335.2821715,1012.530405,534.1232667,547.2837209,0.1362876742E-02,0.8326162538E-03,0.4499999624,12.54942201,0.000000000,8.866085159,21.41550717,5.810781670,0.000000000,54.01470017,1.632444272,55.64714444,2.758717268
1826.250000000,0.2750804739E-01,0.2884669571E-01,0.3579960913E-02,0.1157670453E-02,0.7529965958E-02,0.4933561278E-02,0.1023086347E-01,0.1272663211,-0.1424859920E-01,0.9130363087E-02,0.000000000,0.8746843422E-03,-0.5412469461E-02,0.3485529007E-02,0.000000000,0.9026560902E-02,0.1325944819E-01,0.3797705880E-01,0.3579960913E-02,0.2032354795E-02,0.2117496498E-02,0.8419090285E-02,0.1023086347E-01,0.1362928820,50.79943822,195.6144802,131.4266175,130.7805993,503.1144802,289.1153603,288.2806252,600.1144802,329.3521382,335.2821715,1012.114480,534.5867593,547.2837209,0.1356360614E-02,0.8319187062E-03,0.4499999335,1.488933904,181.6473174,6.185228143,189.3214794,4.161023264,0.000000000,49.30920449,1.490233736,50.79943822,2.400923196
2191.500000000,0.4115854356E-01,0.4446280207E-01,0.3816990839E-02,0.1371572789E-02,0.8100025874E-02,0.5359099626E-02,0.1440992198E-01,0.1315533195,-0.1504692113E-01,0.9571670197E-02,0.000000000,0.1036299441E-02,-0.5910415017E-02,0.3786169086E-02,0.000000000,0.9156123519E-02,0.2611162244E-01,0.5403447227E-01,0.3816990839E-02,0.2407872230E-02,0.2189610857E-02,0.9145268712E-02,0.1440992198E-01,0.1407094431,48.36754010,195.2894458,132.2223914,131.4266175,502.7894458,289.9041981,289.1153603,599.7894458,329.9603583,335.2821715,1011.789446,535.0136310,547.2837209,0.1351293471E-02,0.8312551083E-03,0.4499998919,0.000000000,171.0182763,4.832932068,175.8512084,3.272524537,0.000000000,46.94864764,1.418892462,48.36754010,2.196272197
2556.750000000,0.5221892992E-01,0.5743619753E-01,0.4021546468E-02,0.1568674628E-02,0.8591146835E-02,0.5734643635E-02,0.1820032883E-01,0.1355797256,-0.1571452065E-01,0.9938294982E-02,0.000000000,0.1185220830E-02,-0.6352307362E-02,0.4051488490E-02,0.000000000,0.9277810457E-02,0.3650440927E-01,0.6737449251E-01,0.4021546468E-02,0.2753895459E-02,0.2238839472E-02,0.9786132125E-02,0.1820032883E-01,0.1448575360,45.42743844,195.0190035,132.8845088,132.2223914,502.5190035,290.5615813,289.9041981,599.5190035,330.4861497,335.2821715,1011.519003,535.4073360,547.2837209,0.1347099567E-02,0.8306323456E-03,0.4499998353,0.000000000,142.0768839,4.015055835,146.0919397,2.724359446,0.000000000,44.09479572,1.332642715,45.42743844,2.018888745
2922.000000000,0.6151275884E-01,0.6857084151E-01,0.4202429315E-02,0.1751355847E-02,0.9024830954E-02,0.6073477208E-02,0.2168326342E-01,0.1393713480,-0.1629076722E-01,0.1025295713E-01,0.000000000,0.1323246640E-02,-0.6753007045E-02,0.4290872209E-02,0.000000000,0.9392401712E-02,0.4522199162E-01,0.7882379864E-01,0.4202429315E-02,0.3074602487E-02,0.2271823908E-02,0.1036434942E-01,0.2168326342E-01,0.1487637497,42.77852053,194.7864955,133.4537523,132.8845088,502.2864955,291.1272989,290.5615813,599.2864955,330.9517976,335.2821715,1011.286496,535.7725465,547.2837209,0.1343511246E-02,0.8300463360E-03,0.4499997612,0.000000000,121.9399752,3.445992025,125.3859672,2.342672997,0.000000000,41.52358550,1.254935028,42.77852053,1.874722950
3287.250000000,0.6954158604E-01,0.7837060474E-01,0.4365394044E-02,0.1921711193E-02,0.9414589407E-02,0.6384025047E-02,0.2491905899E-01,0.1429564734,-0.1680042099E-01,0.1052989589E-01,0.000000000,0.1451959568E-02,-0.7121943787E-02,0.4510272241E-02,0.000000000,0.9500752170E-02,0.5274116505E-01,0.8890050063E-01,0.4365394044E-02,0.3373670761E-02,0.2292645619E-02,0.1089429729E-01,0.2491905899E-01,0.1524572256,40.44874380,194.5815289,133.9555671,133.4537523,502.0815289,291.6263652,291.1272989,599.0815289,331.3718921,335.2821715,1011.081529,536.1133857,547.2837209,0.1340361525E-02,0.8294926323E-03,0.4499996675,0.000000000,107.3211579,3.032868046,110.3540259,2.065353288,0.000000000,39.26215425,1.186589551,40.44874380,1.755438688
