,0,1,2,3,4,5,6,7,8,9,10
0,0,"(0, 0, 0)",1,100,0.1,1e-06,0.1,0.3,0.11,3.5,uzfcells
1,1,"(0, 0, 1)",1,101,0.1,1e-06,0.1,0.3,0.11,3.5,uzfcells
2,2,"(0, 1, 0)",1,102,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
3,3,"(0, 1, 1)",1,103,0.1,1e-06,0.1,0.3,0.11,3.5,uzfcells
4,4,"(0, 1, 2)",1,104,0.1,1e-06,0.1,0.3,0.11,3.5,uzfcells
5,5,"(0, 1, 5)",1,105,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
6,6,"(0, 1, 6)",1,106,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
7,7,"(0, 1, 7)",1,107,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
8,8,"(0, 2, 1)",1,108,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
9,9,"(0, 2, 2)",1,109,0.1,1e-06,0.1,0.3,0.11,3.5,uzfcells
10,10,"(0, 2, 3)",1,110,0.1,1e-06,0.1,0.3,0.11,3.5,uzfcells
11,11,"(0, 2, 4)",1,111,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
12,12,"(0, 2, 5)",1,112,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
13,13,"(0, 2, 6)",1,113,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
14,14,"(0, 2, 7)",1,114,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
15,15,"(0, 3, 0)",1,115,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
16,16,"(0, 3, 1)",1,116,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
17,17,"(0, 3, 2)",1,117,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
18,18,"(0, 3, 3)",1,118,0.1,1e-06,0.1,0.3,0.11,3.5,uzfcells
19,19,"(0, 3, 4)",1,119,0.1,1e-06,0.1,0.3,0.11,3.5,uzfcells
20,20,"(0, 3, 5)",1,120,0.1,1e-06,0.1,0.3,0.11,3.5,uzfcells
21,21,"(0, 3, 6)",1,121,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
22,22,"(0, 3, 7)",1,122,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
23,23,"(0, 3, 8)",1,123,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
24,24,"(0, 4, 0)",1,124,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
25,25,"(0, 4, 1)",1,125,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
26,26,"(0, 4, 2)",1,126,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
27,27,"(0, 4, 3)",1,127,0.1,1e-06,0.1,0.3,0.11,3.5,uzfcells
28,28,"(0, 4, 4)",1,128,0.1,1e-06,0.1,0.3,0.11,3.5,uzfcells
29,29,"(0, 4, 5)",1,129,0.1,1e-06,0.1,0.3,0.11,3.5,uzfcells
30,30,"(0, 4, 6)",1,130,0.1,1e-06,0.1,0.3,0.11,3.5,uzfcells
31,31,"(0, 4, 7)",1,131,0.1,1e-06,0.1,0.3,0.11,3.5,uzfcells
32,32,"(0, 4, 8)",1,132,0.1,1e-06,0.1,0.3,0.11,3.5,uzfcells
33,33,"(0, 4, 9)",1,133,0.1,1e-06,0.1,0.3,0.11,3.5,uzfcells
